,index,Property_type,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Green_area,Construction,Management,Amenities,Connectivity,Lifestyle,Environment,Safety
0,0,flat,3 BHK,sector 109,ats kocoon,2.2,2195.0,10023.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8th   of 24 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,24.0,2095.0,,1860.0,0,1,0,0,0,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,5,5,5,5,4,,,
1,1,flat,4 BHK,sector 102,conscient heritage max,2.65,2554.0,10375.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,17th   of 25 Floors,North,Moderately Old,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],17.0,25.0,2554.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,125,5,5,5,5,4.5,,,
2,2,flat,3 BHK,sector 86,dlf new town heights,1.28,1560.0,8205.0,Super Built up area 1930(179.3 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,4,3+,12nd   of 22 Floors,West,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity3 out of 5],12.0,22.0,1930.0,1560.0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5,4.5,4.5,5,3,,,
3,3,flat,3 BHK,sector 37c,ild greens,0.9,1603.0,5614.0,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3,3,3,Ground of 19 Floors,North-East,Under Construction,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],0.0,19.0,1603.0,,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,5,4.5,4.5,4.5,,,
4,4,,house,sector 45,independent,8.5,3240.0,26235.0,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately Old,[Environment4.5 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4.5 out of 5],,,,,,0,1,0,1,0,0,17,1,0,4,0,0,1,5,0,1,0,0,7,0,1,6,0,1,49,,,,,5,4,4.5,4.5
5,5,flat,3 BHK,sector 69,tulip violet,1.38,1539.0,8966.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12nd   of 14 Floors,West,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],12.0,14.0,1538.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,5,4,5,5,4.5,,,
6,6,flat,4 BHK,sector 81,bestech park view grand spa,4.7,6926.0,6786.0,Super Built up area 6926(643.45 sq.m.),4,4,3+,19th   of 21 Floors,North,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],19.0,21.0,6926.0,,,0,1,0,0,0,0,4,1,1,0,0,0,0,4,0,1,0,0,4,0,0,4,0,1,140,5,5,5,5,5,,,
7,7,flat,2 BHK,sector 107,signature global solera,0.4,602.0,6644.0,Super Built up area 602(55.93 sq.m.)Carpet area: 548 sq.ft. (50.91 sq.m.),2,2,1,7th   of 7 Floors,,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],7.0,7.0,602.0,548.0,,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,55,4.5,4.5,4,4,3,,,
8,8,,house,sector 43,independent,5.75,2430.0,23662.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,undefined,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,220.0,260.0,0,1,1,0,0,0,4,1,1,0,4,1,1,5,0,1,1,1,4,0,1,4,1,2,153,,,,,5,5,5,5
9,9,flat,2 BHK,sector 85,ss the leaf,1.05,1640.0,6402.0,Super Built up area 1640(152.36 sq.m.),2,2,3,11st   of 26 Floors,North-East,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],11.0,26.0,1640.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4.5,4.5,4,4,4.5,,,
