Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
0,0,0,Flat,sector 22,ambience creacions,3.5,1800.0,19444.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,8th   of 18 Floors,undefined,[Safety5 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity5 out of 5],8.0,18.0,,1800.0,2000.0,0,1,0,0,0,0,0,1,4,6,1,0,0,0,0,0,0,0,0,0,2,4,0,2,57,5.0,4.0,4.0,5.0,,,,
1,1,1,Flat,sector 85,ss the leaf,1.3,1640.0,7927.0,Super Built up area 1640(152.36 sq.m.),2,2,2,17th   of 26 Floors,New Property,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],17.0,26.0,1640.0,,1484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,4.5,4.0,4.0,4.5,4.5
3,3,3,house,sector 3 phase 3 extension,independent,0.55,1100.0,5000.0,Built Up area: 1100 (102.19 sq.m.),2,1,0,1.0,undefined,[Environment3 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,4.0,,,,
4,4,4,Flat,sector 66,emaar mgf the palm drive,3.98,2200.0,18091.0,Super Built up area 2200(204.39 sq.m.),3,4,3+,2nd   of 17 Floors,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],2.0,17.0,2200.0,,2200.0,0,1,0,0,0,0,0,0,4,5,1,0,0,0,0,1,0,15,0,1,6,5,0,2,123,,,,5.0,4.5,5.0,5.0,4.5
5,5,5,Flat,sector 62,pioneer araya,10.75,5513.0,19499.0,Super Built up area 5514(512.27 sq.m.),5,7,3,10th   of 34 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],10.0,34.0,5514.0,,4990.0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,15,0,0,0,6,0,2,153,,,,5.0,4.0,4.0,5.0,4.0
6,6,6,Flat,sector 109,raheja atharva,0.79,996.0,7932.0,Super Built up area 1457(135.36 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),3,2,2,3rd   of 14 Floors,Relatively New,[Green Area4 out of 5 Construction2 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],3.0,14.0,1457.0,996.0,1213.0,0,0,0,0,0,0,0,1,3,5,1,1,0,0,0,1,1,6,1,1,6,0,0,2,44,,,,4.0,4.0,4.0,4.0,2.0
7,7,7,Flat,sector 107,m3m woodshire,0.94,1366.0,6881.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,1st   of 14 Floors,Moderately Old,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],1.0,14.0,1366.0,,1236.0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,2,3,0,0,113,,,,4.0,4.5,5.0,4.5,5.0
8,8,8,Flat,sector 68,pareena mi casa,1.7,2000.0,8500.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23rd   of 36 Floors,New Property,[Safety5 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity3 out of 5],23.0,36.0,1999.0,,1809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,5.0,4.0,4.0,3.0,,,,
9,9,9,Flat,sector 70,shree vardhman victoria,1.6,1950.0,8205.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6th   of 18 Floors,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity3.5 out of 5],6.0,18.0,1950.0,1161.0,1527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,108,,,,3.5,4.5,4.5,5.0,5.0
10,10,10,Flat,sector 69,tulip violet,1.46,1578.0,9252.0,Super Built up area 1578(146.6 sq.m.),3,3,2,Ground of 14 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],0.0,14.0,1578.0,,1428.0,0,0,0,1,0,0,0,0,3,5,1,0,1,0,0,1,0,15,1,1,3,0,0,2,174,,,,4.5,5.0,5.0,5.0,4.0
11,11,11,Flat,sector 61,smart world orchard,1.6,1150.0,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4th   of 4 Floors,undefined,,4.0,4.0,,1150.0,1278.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29,,,,,,,,
